Tabela,Data,Kurs sredni,Zmiana
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0
219/A/NBP/2021,2021-11-12,4.0559,2.07
218/A/NBP/2021,2021-11-10,3.9737,0.29
217/A/NBP/2021,2021-11-09,3.9622,-0.31
216/A/NBP/2021,2021-11-08,3.9747,-0.41
215/A/NBP/2021,2021-11-05,3.9911,0.26
214/A/NBP/2021,2021-11-04,3.9807,0.32
213/A/NBP/2021,2021-11-03,3.9681,-0.23
212/A/NBP/2021,2021-11-02,3.9772,0.27
211/A/NBP/2021,2021-10-29,3.9664,-0.69
210/A/NBP/2021,2021-10-28,3.9938,0.31
209/A/NBP/2021,2021-10-27,3.9815,0.19
208/A/NBP/2021,2021-10-26,3.974,0.6
207/A/NBP/2021,2021-10-25,3.9502,-0.19
206/A/NBP/2021,2021-10-22,3.9576,0.32
205/A/NBP/2021,2021-10-21,3.9449,0.05
204/A/NBP/2021,2021-10-20,3.9428,0.55
203/A/NBP/2021,2021-10-19,3.9212,-0.66
202/A/NBP/2021,2021-10-18,3.9471,0.15
201/A/NBP/2021,2021-10-15,3.9413,0.03
200/A/NBP/2021,2021-10-14,3.9403,-0.59
199/A/NBP/2021,2021-10-13,3.9638,-0.07
198/A/NBP/2021,2021-10-12,3.9664,0

